,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Namatanai,PG,84.49,light rain,-3.6667,152.4333,Namatanai Hotel
637,Mahanoro,MG,77.56,light rain,-19.9,48.8,Vanilla Bungalow
638,Champerico,GT,77.32,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
640,Barinas,VE,75.24,overcast clouds,8.6226,-70.2075,Hotel Comercio
645,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
647,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
654,Vanimo,PG,84.25,broken clouds,-2.6741,141.3028,CBC Guesthouse
655,Mackay,AU,86.68,scattered clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
661,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
666,Itarema,BR,78.76,few clouds,-2.9248,-39.9167,Pousada Oásis
