City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Broome,US,42.2506,-75.833,27.01,82,0,6.91,clear sky
79,Kaitangata,NZ,-46.2817,169.8464,54.19,98,73,3.83,light rain
80,Saint-Augustin,CA,51.226,-58.6502,24.62,83,100,20.2,overcast clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,68.61,71,33,6.02,scattered clouds
82,Cherskiy,RU,68.75,161.3,-31.77,100,46,4.29,scattered clouds
83,Salta,AR,-24.7859,-65.4117,73.58,60,100,1.99,overcast clouds
84,Bor,RU,56.3567,44.0669,26.53,97,100,8.43,light snow
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.18,93,1,2.33,clear sky
86,Jamestown,US,42.097,-79.2353,27.01,69,0,6.91,clear sky
87,Maiduguri,NG,11.8464,13.1603,63.45,36,0,6.04,clear sky
88,Le Port,RE,-20.9373,55.2919,82.4,60,12,2.04,few clouds
89,Adrar,MR,20.5022,-10.0711,72.9,16,24,4.97,few clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,64.87,76,0,8.99,clear sky
91,Tuktoyaktuk,CA,69.4541,-133.0374,-1.5,93,100,7.58,overcast clouds
92,Gainesville,US,29.6516,-82.3248,62.74,76,0,0.0,clear sky
93,Severo-Kurilsk,RU,50.6789,156.125,27.57,69,99,13.04,overcast clouds
94,Port Lincoln,AU,-34.7333,135.8667,81.64,34,0,11.36,clear sky
95,Valdepenas,ES,38.7621,-3.3848,48.85,88,100,11.23,overcast clouds
96,San Rafael,AR,-34.6177,-68.3301,75.33,36,8,7.65,clear sky
97,Quatre Cocos,MU,-20.2078,57.7625,76.08,77,62,9.17,light rain
98,Galesong,ID,-5.3166,119.3661,87.82,62,53,10.18,broken clouds
99,Sovetskiy,RU,61.3614,63.5842,-11.04,94,74,2.01,broken clouds
100,Santa Luzia,BR,-19.7697,-43.8514,72.5,85,43,3.38,scattered clouds
101,Luderitz,NA,-26.6481,15.1594,62.33,85,4,10.36,clear sky
102,Upernavik,GL,72.7868,-56.1549,31.06,67,100,16.08,overcast clouds
103,Evensk,RU,61.95,159.2333,3.67,90,99,6.58,overcast clouds
104,Shubarshi,KZ,48.5872,57.1869,4.39,90,5,3.62,clear sky
105,Lipno,PL,52.8444,19.1785,32.22,93,100,7.67,overcast clouds
