City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Padang,ID,2022-12-08 23:07:32,-0.9492,100.3543,75.56,88,100,2.95
173,Vyshneve,UA,2022-12-08 23:07:32,50.3891,30.3705,23.0,97,44,4.79
174,Cockburn Town,TC,2022-12-08 23:07:32,21.4612,-71.1419,78.21,65,17,19.17
175,Northam,GB,2022-12-08 23:07:33,51.0333,-4.2167,33.26,82,63,5.14
176,Vao,NC,2022-12-08 23:07:33,-22.6667,167.4833,78.21,80,0,8.03
177,Kabare,CD,2022-12-08 23:07:34,-2.4683,28.8242,60.24,95,100,1.77
178,Lebu,CL,2022-12-08 23:02:57,-37.6167,-73.65,61.66,92,97,8.25
179,Port Elizabeth,ZA,2022-12-08 23:07:34,-33.918,25.5701,71.31,99,100,13.0
180,Mehamn,NO,2022-12-08 23:08:35,71.0357,27.8492,30.15,59,75,13.8
181,Kununurra,AU,2022-12-08 23:04:52,-15.7667,128.7333,84.18,79,7,5.75
182,Georgetown,MY,2022-12-08 23:08:26,5.4112,100.3354,77.9,89,20,3.44
183,Kosa,RU,2022-12-08 23:08:36,59.9445,54.9977,7.59,82,38,8.34
184,Sao Domingos Do Prata,BR,2022-12-08 23:08:36,-19.865,-42.9683,68.65,91,13,0.81
185,Araouane,ML,2022-12-08 23:08:36,18.9048,-3.5265,76.62,13,0,8.59
186,Sola,VU,2022-12-08 23:08:37,-13.8833,167.55,81.93,74,100,9.53
187,Wuwei,CN,2022-12-08 23:08:37,37.9281,102.6414,23.38,61,80,4.5
188,Bambanglipuro,ID,2022-12-08 23:08:37,-7.95,110.2833,77.16,84,98,2.3
189,Rawlins,US,2022-12-08 23:08:38,41.7911,-107.2387,25.36,58,0,19.57
190,Mareeba,AU,2022-12-08 23:08:38,-17.0,145.4333,79.52,38,74,2.73
191,Krasnyy Tkach,RU,2022-12-08 23:08:39,55.4721,39.0802,20.71,95,100,7.7
192,San Quintin,MX,2022-12-08 23:08:39,30.4833,-115.95,60.01,56,99,14.5
193,Waddan,LY,2022-12-08 23:08:39,29.1614,16.139,65.46,23,0,7.02
194,Ancud,CL,2022-12-08 23:08:40,-41.8697,-73.8203,56.84,95,98,14.29
195,Iqaluit,CA,2022-12-08 23:08:40,63.7506,-68.5145,0.07,88,100,7.78
196,Klaksvik,FO,2022-12-08 23:08:41,62.2266,-6.589,38.32,86,100,38.25
197,Flinders,AU,2022-12-08 23:08:41,-34.5833,150.8552,67.05,48,12,5.01
198,Half Moon Bay,US,2022-12-08 23:08:41,37.4636,-122.4286,57.78,69,100,12.66
199,Ponta Do Sol,PT,2022-12-08 23:08:42,32.6667,-17.1,68.63,81,96,17.56
200,Salinas,US,2022-12-08 23:06:29,36.6777,-121.6555,58.06,66,20,9.22
201,San Patricio,US,2022-12-08 23:08:42,28.017,-97.5169,78.89,71,0,11.34
202,Bara,NG,2022-12-08 23:08:43,10.3744,10.7288,68.65,28,19,8.93
203,Yellowknife,CA,2022-12-08 23:08:43,62.456,-114.3525,-7.08,77,100,14.97
204,Mount Isa,AU,2022-12-08 23:08:44,-20.7333,139.5,87.57,12,1,14.97
205,Wilmington,US,2022-12-08 23:04:30,34.2257,-77.9447,62.94,82,75,3.44
206,Abbeville,FR,2022-12-08 23:08:44,50.1,1.8333,28.49,86,14,0.76
207,Igrim,RU,2022-12-08 23:08:45,63.1906,64.4162,9.93,74,98,9.91
208,Sitka,US,2022-12-08 23:08:45,57.0531,-135.33,35.49,80,100,16.11
209,Mindelo,CV,2022-12-08 23:08:45,16.8901,-24.9804,73.09,77,57,15.39
210,Esperance,AU,2022-12-08 23:08:46,-33.8667,121.9,65.57,80,0,9.01
211,Ostrovnoy,RU,2022-12-08 23:08:46,68.0531,39.5131,25.11,91,100,28.99
212,Praya,CV,2022-12-08 23:08:46,14.9215,-23.5087,75.27,77,25,12.15
213,Bilibino,RU,2022-12-08 23:08:47,68.0546,166.4372,-18.58,93,36,5.95
214,Ust-Ishim,RU,2022-12-08 23:08:47,57.6935,71.1665,9.01,96,100,6.2
215,Khatanga,RU,2022-12-08 23:08:48,71.9667,102.5,-13.65,95,100,2.57
216,Torbay,CA,2022-12-08 23:05:42,47.6666,-52.7314,39.76,97,100,14.97
217,Aleksandrovsk-Sakhalinskiy,RU,2022-12-08 23:08:48,50.8975,142.1561,11.97,79,82,3.31
218,Victoria,HK,2022-12-08 23:08:05,22.2855,114.1577,65.25,79,0,1.99
219,Naze,JP,2022-12-08 23:08:49,28.3667,129.4833,65.39,69,99,15.55
220,Leningradskiy,RU,2022-12-08 23:08:49,69.3833,178.4167,-17.97,91,19,4.45
221,Moose Factory,CA,2022-12-08 23:08:49,51.2585,-80.6094,4.98,78,100,8.05
